Activity index,Activity name,Item ID,Item name,Completed,Requires previous,Active,Exact,Independent,Drop rate (attempts),E&I,E,I,Neither^(-1)
1,Killing abyssal sire (on task),13262,Abyssal orphan,FALSE,FALSE,TRUE,FALSE,FALSE,2560,n/a,n/a,n/a,0.000390625
1,Killing abyssal sire (on task),25624,Unsired,TRUE,FALSE,FALSE,FALSE,TRUE,100,n/a,n/a,100,n/a
1,Killing abyssal sire (on task),7979,Abyssal head,TRUE,FALSE,FALSE,FALSE,FALSE,1280,n/a,n/a,n/a,0.00078125
1,Killing abyssal sire (on task),13274,Bludgeon spine,TRUE,FALSE,FALSE,FALSE,FALSE,206,n/a,n/a,n/a,0.004854368932
1,Killing abyssal sire (on task),13275,Bludgeon claw,TRUE,TRUE,FALSE,FALSE,FALSE,206,n/a,n/a,n/a,0.004854368932
1,Killing abyssal sire (on task),13276,Bludgeon axon,TRUE,TRUE,FALSE,FALSE,FALSE,206,n/a,n/a,n/a,0.004854368932
1,Killing abyssal sire (on task),13277,Jar of miasma,FALSE,FALSE,TRUE,FALSE,FALSE,985,n/a,n/a,n/a,0.001015228426
1,Killing abyssal sire (on task),13265,Abyssal dagger,TRUE,FALSE,FALSE,FALSE,FALSE,492,n/a,n/a,n/a,0.002032520325
1,Killing abyssal sire (on task),4151,Abyssal whip,TRUE,FALSE,FALSE,FALSE,FALSE,1067,n/a,n/a,n/a,0.0009372071228
1,Killing abyssal sire (on task),2366,Shield left half,TRUE,FALSE,FALSE,FALSE,FALSE,12522,n/a,n/a,n/a,0.00007985944737
1,Killing abyssal sire (on task),1249,Dragon spear,TRUE,FALSE,FALSE,FALSE,FALSE,16696,n/a,n/a,n/a,0.00005989458553
2,Killing alchemical hydra (on task),22746,Ikkle hydra,FALSE,FALSE,TRUE,FALSE,FALSE,3000,n/a,n/a,n/a,0.0003333333333
2,Killing alchemical hydra (on task),22966,Hydra's claw,TRUE,FALSE,FALSE,FALSE,FALSE,1001,n/a,n/a,n/a,0.000999000999
2,Killing alchemical hydra (on task),22988,Hydra's tail,TRUE,FALSE,FALSE,FALSE,FALSE,513,n/a,n/a,n/a,0.001949317739
2,Killing alchemical hydra (on task),22983,Hydra leather,TRUE,FALSE,FALSE,FALSE,FALSE,514,n/a,n/a,n/a,0.001945525292
2,Killing alchemical hydra (on task),22971,Hydra's fang,TRUE,FALSE,FALSE,FALSE,FALSE,181,n/a,n/a,n/a,0.005524861878
2,Killing alchemical hydra (on task),22973,Hydra's eye,TRUE,TRUE,FALSE,FALSE,FALSE,181,n/a,n/a,n/a,0.005524861878
2,Killing alchemical hydra (on task),22969,Hydra's heart,TRUE,TRUE,FALSE,FALSE,FALSE,181,n/a,n/a,n/a,0.005524861878
2,Killing alchemical hydra (on task),22804,Dragon knife,TRUE,FALSE,FALSE,FALSE,FALSE,2001,n/a,n/a,n/a,0.0004997501249
2,Killing alchemical hydra (on task),20849,Dragon thrownaxe,TRUE,FALSE,FALSE,FALSE,FALSE,2000,n/a,n/a,n/a,0.0005
2,Killing alchemical hydra (on task),23064,Jar of chemicals,TRUE,FALSE,FALSE,FALSE,FALSE,2000,n/a,n/a,n/a,0.0005
2,Killing alchemical hydra (on task),23077,Alchemical hydra heads,TRUE,FALSE,FALSE,FALSE,FALSE,256,n/a,n/a,n/a,0.00390625
2,Killing alchemical hydra (on task),4111,Mystic robe top (light),TRUE,FALSE,FALSE,FALSE,FALSE,50,n/a,n/a,n/a,0.02
2,Killing alchemical hydra (on task),4113,Mystic robe bottom (light),TRUE,FALSE,FALSE,FALSE,FALSE,50,n/a,n/a,n/a,0.02
2,Killing alchemical hydra (on task),2366,Shield left half,TRUE,FALSE,FALSE,FALSE,FALSE,13647,n/a,n/a,n/a,0.00007327617791
2,Killing alchemical hydra (on task),1249,Dragon spear,TRUE,FALSE,FALSE,FALSE,FALSE,18197,n/a,n/a,n/a,0.00005495411332
3,Killing amoxliatl,29889,Glacial temotli,FALSE,FALSE,TRUE,FALSE,FALSE,100,n/a,n/a,n/a,0.01
3,Killing amoxliatl,29892,Pendant of ates (inert),FALSE,FALSE,TRUE,FALSE,FALSE,25,n/a,n/a,n/a,0.04
3,Killing amoxliatl,29895,Frozen tear,FALSE,FALSE,TRUE,TRUE,FALSE,1,n/a,1,n/a,n/a
3,Killing amoxliatl,30154,Moxi,FALSE,FALSE,TRUE,FALSE,FALSE,3000,n/a,n/a,n/a,0.0003333333333
3,Killing amoxliatl,2366,Shield left half,TRUE,FALSE,FALSE,FALSE,FALSE,57344,n/a,n/a,n/a,0.00001743861607
3,Killing amoxliatl,1249,Dragon spear,TRUE,FALSE,FALSE,FALSE,FALSE,76458,n/a,n/a,n/a,0.00001307907609
4,Killing araxxor (on task),29781,Coagulated venom,FALSE,FALSE,TRUE,FALSE,FALSE,1,n/a,n/a,n/a,1
4,Killing araxxor (on task),29782,Spider cave teleport,FALSE,FALSE,TRUE,FALSE,FALSE,14,n/a,n/a,n/a,0.07142857143
4,Killing araxxor (on task),29784,Araxyte venom sack,FALSE,FALSE,TRUE,FALSE,FALSE,8,n/a,n/a,n/a,0.125
4,Killing araxxor (on task),29786,Jar of venom,FALSE,FALSE,TRUE,FALSE,FALSE,1500,n/a,n/a,n/a,0.0006666666667
4,Killing araxxor (on task),29788,Araxyte head,FALSE,FALSE,TRUE,FALSE,FALSE,250,n/a,n/a,n/a,0.004
